dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Phon,ses-7,72,-0.034733941028556155,-0.035782503773115946,-0.023450290785810752,-0.07286953913178913,0.002088471840423957
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Phon,ses-7,72,-0.03463335519264883,-0.0356326174437435,-0.02340802807713863,-0.0749069415257387,0.0038462972445369053
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Phon,ses-7,72,-0.0301939979487233,-0.026525745125066343,-0.02026772507189254,-0.06811435638548712,0.007909154672464495
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Phon,ses-7,72,-0.022937536645757112,-0.016222907733748227,-0.015795227988938194,-0.06100232707969879,0.018599569642514836
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Phon,ses-7,72,-0.04786978604420196,-0.05082643986265943,-0.03189854499906593,-0.0859714053363181,-0.010652416177328067
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Phon,ses-7,72,-0.03566517869752377,-0.0028066294278746642,-0.022886788003515762,-0.07367818755181318,0.00038598908581213013
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Phon,ses-7,72,0.027451597220986345,-0.003202277088909665,0.01841796593870682,-0.0123271993805158,0.06408031855910377
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Phon,ses-7,72,0.004455753976233634,-0.01223662033251367,0.0025425000535940143,-0.03593301719912358,0.044164591934327216
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Phon,ses-7,72,-0.016832206867331924,-0.019564745636887194,-0.011289043239650996,-0.057563488427379655,0.02024179713533376
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Phon,ses-7,72,0.02975287073154933,0.024174459938920864,0.020104186764422147,-0.01146280718583293,0.06933655517966555
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Phon,ses-7,72,-0.01213734244181622,-0.006332368995376953,-0.008391291432001445,-0.053785568634675845,0.026556925865795517
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894,-0.05348241362201861,0.02535945452969203
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894,-0.053561500289420895,0.02076679024072159
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894,-0.05358686908964079,0.022469151816267855
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894,-0.051521918651421465,0.021617798135628447
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894,-0.05620758905637972,0.021688051341450677
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,ses-9,72,-0.015435694941745338,-0.03174369783180796,-0.01037151370934894,-0.05433123734989637,0.022336221608228887
