task,dataset,session,token_bin,mean,ci_lo,ci_hi,n,tokens
Phon,ds003604,ses-9,1.0,-0.004694042793914712,-0.01198308871464027,0.0025950031268108477,23,6113480.780310711
Phon,ds003604,ses-9,2.0,-0.001082642571789362,-0.007885606654767556,0.005720321511188831,18,12876393.93651883
Phon,ds003604,ses-9,3.0,-0.009136774182074786,-0.013501060174725297,-0.004772488189424275,32,27120641.540643267
Phon,ds003604,ses-9,4.0,-0.006362322665108822,-0.016406609920627216,0.003681964590409573,9,57122296.91031942
Phon,ds003604,ses-9,5.0,-0.007556871479697276,-0.014298585970434326,-0.0008151569889602263,9,120312670.31131203
Phon,ds003604,ses-9,6.0,-0.01719164745219882,-0.027326074612949412,-0.00705722029144823,9,253406102.70213875
Phon,ds003604,ses-9,7.0,-0.018842479910924144,-0.024267863427969966,-0.013417096393878322,23,533731424.30078125
Phon,ds003604,ses-9,8.0,-0.010856500646404433,-0.01598634520194703,-0.005726656090861836,9,1124160903.1846583
Phon,ds003604,ses-9,9.0,-0.0090917227746205,-0.014595514284418007,-0.0035879312648229933,9,2367740924.950251
Phon,ds003604,ses-9,11.0,-0.009836813164004879,-0.012670237082391516,-0.0070033892456182415,14,10503779302.537245
Phon,ds003604,ses-9,12.0,-0.00430863257373642,-0.0072264997211192615,-0.0013907654263535787,14,22123370463.07825
Phon,ds003604,ses-9,13.0,-0.0054217612165631,-0.010425953663518521,-0.00041756876960767804,15,46596896845.34551
Phon,ds003604,ses-9,14.0,-0.005243675327486947,-0.010875190550770335,0.00038783989579644056,15,98143761559.27098
Phon,ds003604,ses-9,15.0,-0.00590845202349024,-0.009105784968621343,-0.002711119078359136,30,206713291766.44907
Phon,ds006239,ses-11,0.0,-0.010751030276481471,-0.02038478919319518,-0.0011172713597677637,14,2902570.9709944464
Phon,ds006239,ses-11,1.0,-0.01329516410237501,-0.021032574614314757,-0.005557753590435262,23,6113480.780310711
Phon,ds006239,ses-11,2.0,-0.02068703346460478,-0.031506561787993465,-0.009867505141216096,18,12876393.93651883
Phon,ds006239,ses-11,3.0,-0.017158765907485808,-0.022876467011627457,-0.01144106480334416,32,27120641.540643267
Phon,ds006239,ses-11,4.0,-0.01508654772481711,-0.03042292482071399,0.0002498293710797711,9,57122296.91031942
Phon,ds006239,ses-11,5.0,-0.041253666783992726,-0.05321743332226304,-0.029289900245722415,9,120312670.31131203
Phon,ds006239,ses-11,6.0,-0.03400768822517661,-0.04245191807039193,-0.02556345837996129,9,253406102.70213875
Phon,ds006239,ses-11,7.0,-0.0291825983589911,-0.03566104863782375,-0.02270414808015845,23,533731424.30078125
Phon,ds006239,ses-11,8.0,-0.028137042563769657,-0.03739566485640553,-0.018878420271133782,9,1124160903.1846583
Phon,ds006239,ses-11,9.0,-0.03243926035302622,-0.044626972133262895,-0.02025154857278954,9,2367740924.950251
Phon,ds006239,ses-11,11.0,-0.026847340524490528,-0.033619395035636546,-0.02007528601334451,14,10503779302.537245
Phon,ds006239,ses-11,12.0,-0.02633811190674658,-0.03485520749838413,-0.01782101631510903,14,22123370463.07825
Phon,ds006239,ses-11,13.0,-0.028950653246028454,-0.03780379379148362,-0.020097512700573292,15,46596896845.34551
Phon,ds006239,ses-11,14.0,-0.03000341823310243,-0.04007168126858274,-0.01993515519762212,15,98143761559.27098
Phon,ds006239,ses-11,15.0,-0.030949611046927894,-0.03637281306395714,-0.025526409029898646,30,206713291766.44907
Phon,ds006239,ses-11+,0.0,-0.0025904152439925362,-0.013007552023467626,0.007826721535482552,14,2902570.9709944464
Phon,ds006239,ses-11+,1.0,-0.0029722802403034905,-0.011165373099125946,0.005220812618518964,23,6113480.780310711
Phon,ds006239,ses-11+,2.0,-0.008342027726223094,-0.018764419176739783,0.0020803637242935956,18,12876393.93651883
Phon,ds006239,ses-11+,3.0,-0.006188372260617303,-0.011676579196979866,-0.0007001653242547402,32,27120641.540643267
Phon,ds006239,ses-11+,4.0,-0.0065414643913687225,-0.019101689227436623,0.00601876044469918,9,57122296.91031942
Phon,ds006239,ses-11+,5.0,-0.02213306646780719,-0.031186753214346143,-0.013079379721268233,9,120312670.31131203
Phon,ds006239,ses-11+,6.0,-0.015893793363499647,-0.02496083976202195,-0.006826746964977344,9,253406102.70213875
Phon,ds006239,ses-11+,7.0,-0.012860574477949612,-0.019419921397755446,-0.006301227558143778,23,533731424.30078125
Phon,ds006239,ses-11+,8.0,-0.01394205629231269,-0.023732150800140864,-0.004151961784484516,9,1124160903.1846583
Phon,ds006239,ses-11+,9.0,-0.017095836526338958,-0.028827245522991058,-0.005364427529686858,9,2367740924.950251
Phon,ds006239,ses-11+,11.0,-0.018164971990709815,-0.025435256695725824,-0.010894687285693806,14,10503779302.537245
Phon,ds006239,ses-11+,12.0,-0.01797784201676459,-0.025730211816421746,-0.010225472217107436,14,22123370463.07825
Phon,ds006239,ses-11+,13.0,-0.024495029649994053,-0.0309115744115118,-0.018078484888476305,15,46596896845.34551
Phon,ds006239,ses-11+,14.0,-0.019174250488790946,-0.027222817577852394,-0.011125683399729497,15,98143761559.27098
Phon,ds006239,ses-11+,15.0,-0.016794652637126494,-0.02233190937009089,-0.0112573959041621,30,206713291766.44907
Plaus,ds003604,ses-5,0.0,0.016875410879587667,0.010651951904645494,0.02309886985452984,14,2902570.9709944464
Plaus,ds003604,ses-5,1.0,0.017578160224614836,0.013469854261112548,0.021686466188117124,23,6113480.780310711
Plaus,ds003604,ses-5,2.0,0.01732449078292685,0.013276369072483682,0.021372612493370018,18,12876393.93651883
Plaus,ds003604,ses-5,3.0,0.0069547674209430475,0.001915383880369219,0.011994150961516875,32,27120641.540643267
Plaus,ds003604,ses-5,4.0,-0.010139914640373456,-0.01900878783498447,-0.0012710414457624414,9,57122296.91031942
Plaus,ds003604,ses-5,5.0,-0.012616782558707912,-0.017093697065467005,-0.008139868051948818,9,120312670.31131203
Plaus,ds003604,ses-5,6.0,-0.00812142207698939,-0.011679815371441025,-0.004563028782537755,9,253406102.70213875
Plaus,ds003604,ses-5,7.0,-0.002567181283455139,-0.006716028261088275,0.0015816656941779962,23,533731424.30078125
Plaus,ds003604,ses-5,8.0,-0.008782942792931389,-0.014477066824269306,-0.0030888187615934733,9,1124160903.1846583
Plaus,ds003604,ses-5,9.0,-0.010210836119332233,-0.01372756089478535,-0.006694111343879115,9,2367740924.950251
