family,model_ref,accuracy,alignment,tokens,task
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step143000,0.625,-0.0065154210337943,299892736000.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step16,0.4583333333333333,-0.0064497157719479,33554432.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step256,0.5416666666666666,-1.8061293714242656e-06,536870912.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step28000,0.75,0.002684969646361,58720256000.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step4,0.375,0.0054854043769098,8388608.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step5000,0.7083333333333334,-0.0029341781314231,10485760000.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step51000,0.6666666666666666,-0.014816889627888,106954752000.0,Sem
polypythia-160m-seed2,EleutherAI/pythia-160m-seed2@step86000,0.6666666666666666,-0.008745564905904,180355072000.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step0,0.4583333333333333,0.0171149111474236,0.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step1,0.4583333333333333,0.0171149111474236,2097152.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step14000,0.625,0.0114897973937607,29360128000.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step143000,0.7083333333333334,-0.0030533709324913,299892736000.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step16,0.3333333333333333,0.0078883653664809,33554432.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step256,0.4166666666666667,-0.0071260019914396,536870912.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step28000,0.625,0.0003649617355144,58720256000.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step4,0.4583333333333333,0.0171593364205473,8388608.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step5000,0.6666666666666666,-0.0062256560813747,10485760000.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step51000,0.7916666666666666,0.0012084852345923,106954752000.0,Sem
polypythia-160m-seed3,EleutherAI/pythia-160m-seed3@step86000,0.7916666666666666,-0.0120368845201109,180355072000.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step0,0.5416666666666666,0.0026479475873425,0.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step1,0.5416666666666666,0.0026479475873425,2097152.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step14000,0.6666666666666666,-0.0139100191353537,29360128000.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step143000,0.7083333333333334,-0.0086795515959977,299892736000.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step16,0.625,0.001903091450679,33554432.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step256,0.5416666666666666,0.0002218463437042,536870912.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step28000,0.6666666666666666,-0.0188961954607002,58720256000.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step4,0.5416666666666666,0.0028599040552698,8388608.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step5000,0.5833333333333334,-0.0158848953655777,10485760000.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step51000,0.6666666666666666,-0.0151869938017771,106954752000.0,Sem
polypythia-410m-seed1,EleutherAI/pythia-410m-seed1@step86000,0.7083333333333334,-0.0131195666159516,180355072000.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step0,0.375,-0.017116706737048,0.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step1,0.375,-0.017116706737048,2097152.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step14000,0.5833333333333334,-0.0037235215819937,29360128000.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step143000,0.6666666666666666,-0.0051420172639546,299892736000.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step16,0.375,-0.0121781408442751,33554432.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step256,0.4166666666666667,0.0020075726812598,536870912.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step28000,0.6666666666666666,-0.0033927153338549,58720256000.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step4,0.3333333333333333,-0.016695245729608,8388608.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step5000,0.625,0.0018314051219526,10485760000.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step51000,0.7083333333333334,0.0023506004846585,106954752000.0,Sem
polypythia-410m-seed2,EleutherAI/pythia-410m-seed2@step86000,0.7083333333333334,0.0006305968953476,180355072000.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step0,0.625,0.0007508122914141,0.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step1,0.625,0.0007508122914141,2097152.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step14000,0.625,-0.0095425396123784,29360128000.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step143000,0.6666666666666666,0.0021089049228862,299892736000.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step16,0.5416666666666666,-0.0011170167589151,33554432.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step256,0.5833333333333334,0.0009548083758837,536870912.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step28000,0.6666666666666666,-0.0099030140506096,58720256000.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step4,0.625,-0.0006545338584719,8388608.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step5000,0.625,-0.0160719933611378,10485760000.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step51000,0.625,-0.0050797041238627,106954752000.0,Sem
polypythia-410m-seed3,EleutherAI/pythia-410m-seed3@step86000,0.625,-0.0142519512841443,180355072000.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step0,0.625,-0.0096080209046012,0.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step1,0.625,-0.0096080209046012,2097152.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step14000,0.7916666666666666,0.0026666664175453,29360128000.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step143000,0.75,-0.0004436419049911,299892736000.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step16,0.5,-0.0096311063040761,33554432.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step256,0.5416666666666666,0.0017425921834388,536870912.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step28000,0.6666666666666666,0.0043043689552072,58720256000.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step4,0.625,-0.009733392871885,8388608.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step5000,0.7916666666666666,0.0010658970696716,10485760000.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step51000,0.6666666666666666,-0.0003112993323083,106954752000.0,Sem
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step86000,0.75,-0.0064492503463022,180355072000.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step0,0.5416666666666666,0.0017894439937684,0.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step1,0.5416666666666666,0.0017894439937684,2097152.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step14000,0.6666666666666666,0.0116772027187617,29360128000.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step143000,0.7083333333333334,-0.0023266513050093,299892736000.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step16,0.5416666666666666,-7.194551068656658e-05,33554432.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step256,0.625,0.0001344198609995,536870912.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step28000,0.6666666666666666,0.0094719448660851,58720256000.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step4,0.5416666666666666,0.0017170505438345,8388608.0,Sem
polypythia-70m-seed2,EleutherAI/pythia-70m-seed2@step5000,0.5833333333333334,0.007552410451935,10485760000.0,Sem
