dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,n_stim_ceil,ceiling_lower,ceiling_upper,ceiling_n,n_subjects,frac_of_ceiling,params,cell
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Phon,ses-11+,96,0.0340793253883461,0.0228043850208193,0.0226076817399937,96,0.3027469867681776,0.4039104611117662,20,20,0.1125670176015382,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Phon,ses-11+,96,0.0367465586531296,0.0061929645927181,0.0244086307015619,96,0.3027469867681776,0.4039104611117662,20,20,0.12137712432879649,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Phon,ses-11+,96,0.0580197479851472,0.0116964640397549,0.0388302682567352,96,0.3027469867681776,0.4039104611117662,20,20,0.19164434501729546,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Phon,ses-11+,96,0.0540060779736768,0.0158398744553945,0.0361578985850236,96,0.3027469867681776,0.4039104611117662,20,20,0.17838683895813923,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Phon,ses-11+,96,0.0583619135059683,0.0188847759904352,0.0390057453350419,96,0.3027469867681776,0.4039104611117662,20,20,0.1927745479120417,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Phon,ses-11+,96,0.0578137026687876,0.0187816733584523,0.0387042403112409,96,0.3027469867681776,0.4039104611117662,20,20,0.19096375916387662,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Phon,ses-11+,96,0.0588626302232417,0.0194654544666945,0.0393566994916552,96,0.3027469867681776,0.4039104611117662,20,20,0.19442845939310563,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Phon,ses-9,96,0.0478173579181494,0.0267168028563375,0.0317607739462716,96,0.2555744517777938,0.4415161758890461,9,9,0.18709756622983442,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Phon,ses-9,96,0.0376025028562623,0.0317136428555406,0.0249435279358739,96,0.2555744517777938,0.4415161758890461,9,9,0.1471293495679895,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Phon,ses-9,96,0.0452707662837162,0.0312327684288587,0.0299906104370379,96,0.2555744517777938,0.4415161758890461,9,9,0.17713337921223962,134601216.0,ds002236/Phon/ses-9
