file,task,variant,n_stim,effective_rank,rsa_vs_duration,p_perm,rsa_vs_amplitude
sub-5317_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06228655622579979,0.07546226886556721,0.14399626662007106
sub-5317_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06228655622579979,0.07546226886556721,0.14399626662007106
sub-5317_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.05925963126010249,0.05997001499250375,0.5346986991204027
sub-5317_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.03794363712488595,0.26286856571714146,0.4004138478455498
sub-5317_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.03794363712488595,0.26286856571714146,0.4004138478455498
sub-5317_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.045317335539247466,0.11144427786106946,0.034251788458156324
sub-5334_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06951801215698582,0.06546726636681659,0.5677335483406829
sub-5334_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06951801215698582,0.06546726636681659,0.5677335483406829
sub-5334_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.029329569657074846,0.33933033483258374,0.20418139057781792
sub-5334_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.04269296253886791,0.2433783108445777,0.570250115466988
sub-5334_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.04269296253886791,0.2433783108445777,0.570250115466988
sub-5334_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.04187913456648597,0.127936031984008,0.3798282680634559
sub-5357_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06927378967776691,0.08195902048975512,0.20139415087796003
sub-5357_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06927378967776691,0.08195902048975512,0.20139415087796003
sub-5357_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,-0.02263249263892403,0.4672663668165917,0.29380395228991296
sub-5357_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.04164151151565329,0.2448775612193903,0.46791719553476235
